class;H_precision;H_recall;H_f1-score;NH_precision;NH_recall;NH_f1-score;support
Adulteração de Sinal Identificador de Veículo Automotor;0.45014;0.81393;0.57968;0.38378;0.80656;0.52008;1220
Ameaça;0.71161;0.19272;0.30330;0.78495;0.13640;0.23241;18732
Apreensão (outros);0.72050;0.25282;0.37429;0.76954;0.27897;0.40949;2753
Apreensão de Adolescente Infrator (Artigo 104 e 107 da Lei 8.069/90);0.74962;0.92336;0.82747;0.71902;0.93271;0.81204;535
Apreensão de Substância Entorpecente;0.34086;0.80731;0.47933;0.34476;0.79184;0.48038;711
Apreensão de Veículo;0.52481;0.43307;0.47455;0.62353;0.41732;0.50000;635
Apropriação Indébita (outros);0.10400;0.69643;0.18097;0.06868;0.73214;0.12557;784
Associação para Tráfico de Droga (Lei 11.343/06);0.34151;0.28965;0.31345;0.31530;0.27901;0.29605;2068
Calúnia;0.27757;0.30961;0.29271;0.34800;0.29509;0.31937;1447
Crime de Perseguição (Art 147-A CP);0.17713;0.33193;0.23099;0.30266;0.31092;0.30674;476
Cumprimento de Mandado de Prisão;0.92190;0.71789;0.80720;0.92794;0.68763;0.78991;3371
Dano (outros);0.11351;0.59687;0.19074;0.08458;0.63169;0.14918;1982
Desacato;0.18576;0.65146;0.28909;0.11406;0.61597;0.19248;789
Desaparecimento outros;0.48214;0.48995;0.48602;0.49779;0.51199;0.50479;1543
Descumprimento de Medidas Protetivas de Urgência;0.23148;0.76087;0.35497;0.18690;0.80000;0.30301;920
Desobediência;0.18662;0.44327;0.26266;0.12006;0.45083;0.18963;661
Difamação;0.28377;0.42582;0.34057;0.34141;0.37850;0.35900;1712
Encontro de Desaparecido;0.41975;0.50072;0.45667;0.43621;0.47182;0.45331;1384
Estelionato (outros);0.82656;0.61705;0.70660;0.83793;0.53394;0.65225;26784
Estelionato (outros) - Tentativa;0.13921;0.71956;0.23328;0.12639;0.66273;0.21229;1355
Estelionato com Emprego de Cartão de Crédito;0.10224;0.82976;0.18206;0.09803;0.80714;0.17483;840
Estupro;0.28140;0.69000;0.39977;0.24868;0.65800;0.36094;500
Estupro de Vulnerável;0.62137;0.82867;0.71020;0.59272;0.79261;0.67824;1109
Exercício Arbitrário das Próprias Razões;0.06116;0.58559;0.11075;0.04689;0.61441;0.08712;555
Extorsão (outros);0.29425;0.33164;0.31183;0.37274;0.49682;0.42593;787
Extravio de Celular;0.42538;0.75389;0.54388;0.31336;0.80622;0.45131;2121
Extravio de Documento;0.76333;0.88765;0.82081;0.71801;0.88782;0.79394;6017
Extravio de Placa de Veículo;0.62947;0.92827;0.75021;0.71617;0.91561;0.80370;948
Falta de Habilitação, Proibição Dirigir Veículo Automotor;0.08452;0.71779;0.15123;0.06672;0.74233;0.12243;489
Fato Atípico;0.64048;0.20875;0.31487;0.66740;0.19527;0.30214;13945
Furto a Estabelecimento Comercial;0.43750;0.51159;0.47165;0.48046;0.41087;0.44295;2244
Furto a Transeunte;0.44843;0.48546;0.46621;0.44361;0.42150;0.43227;6019
Furto de Bicicleta;0.64155;0.87839;0.74152;0.64152;0.85885;0.73445;921
Furto de Placa de Veículo;0.70474;0.68937;0.69697;0.71915;0.69074;0.70466;734
Furto de Telefone Celular;0.59030;0.54720;0.56793;0.60523;0.40082;0.48226;7849
Furto de Veículo;0.88759;0.79769;0.84024;0.90614;0.76962;0.83232;3989
Furto de Veículo - Moto;0.84620;0.87841;0.86200;0.86748;0.84432;0.85574;1760
Furto no Interior de Coletivo;0.46654;0.75614;0.57704;0.48024;0.68804;0.56566;2526
Furto no Interior de Estabelecimento Comercial;0.33256;0.41250;0.36824;0.35701;0.35573;0.35637;2783
Furto no Interior de Residência;0.55898;0.55263;0.55579;0.56702;0.52751;0.54655;3344
Furto no Interior de Veículo;0.49981;0.63319;0.55865;0.55545;0.56767;0.56149;2091
Furto outros;0.70979;0.22466;0.34129;0.73576;0.17611;0.28420;17756
Homicídio Provocado por Projétil de Arma de Fogo;0.72569;0.80962;0.76536;0.72464;0.81883;0.76886;977
Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;0.29505;0.40683;0.34204;0.30072;0.39130;0.34008;644
Injúria (outros);0.50271;0.17583;0.26053;0.54757;0.10791;0.18029;10027
Injúria por preconceito;0.14294;0.44507;0.21639;0.17637;0.36685;0.23821;537
Lei de Drogas (Outros) (Lei 11.343/06);0.11706;0.35282;0.17579;0.10230;0.34073;0.15736;496
Lesão Corporal (outros);0.44199;0.19121;0.26694;0.47203;0.12388;0.19625;10559
Lesão Corporal Culposa (outros) (Lei 9503/97);0.58074;0.23561;0.33522;0.60840;0.14904;0.23943;4274
